group_name,round_index,phase_name,task_count,task_success_rate,avg_oracle_utility,avg_total_cost
完整多步协同组,1,冷启动,12,1.0,0.8125,0.5141
完整多步协同组,2,短期预热,12,0.8333,0.8046,0.4459
完整多步协同组,3,中期运行,12,1.0,0.8129,0.5107
完整多步协同组,4,持续运行,12,0.8333,0.8044,0.4671
